配构件编号：	1
Floor	DS1	DS2	DS3	DS4
Floor	DS1	DS2	DS3	DS4
1	0.741	0.259	0	0	
2	0.77	0.23	0	0	
3	0.793	0.207	0	0	
4	0.769	0.231	0	0	
5	0.762	0.238	0	0	
6	0.752	0.248	0	0	
7	0.74	0.26	0	0	
8	0.726	0.274	0	0	
9	0.716	0.284	0	0	
10	0.706	0.294	0	0	
11	0.71	0.29	0	0	
12	0.719	0.281	0	0	
13	0.733	0.267	0	0	
14	0.737	0.263	0	0	
15	0.753	0.247	0	0	
16	0.778	0.222	0	0	
17	0.8	0.2	0	0	
18	0.834	0.166	0	0	
19	0.858	0.142	0	0	
20	0.862	0.138	0	0	
21	0.861	0.139	0	0	
22	0.846	0.154	0	0	
23	0.796	0.204	0	0	
24	0.755	0.245	0	0	
25	0.708	0.292	0	0	


配构件编号：	24
Floor	DS1	DS2	DS3	DS4
1	0.163	0.837	0	0	
2	0.201	0.799	0	0	
3	0.276	0.724	0	0	
4	0.279	0.721	0	0	
5	0.251	0.749	0	0	
6	0.232	0.768	0	0	
7	0.235	0.765	0	0	
8	0.208	0.792	0	0	
9	0.215	0.785	0	0	
10	0.212	0.788	0	0	
11	0.213	0.787	0	0	
12	0.231	0.769	0	0	
13	0.245	0.755	0	0	
14	0.263	0.737	0	0	
15	0.286	0.714	0	0	
16	0.329	0.671	0	0	
17	0.35	0.65	0	0	
18	0.4	0.6	0	0	
19	0.446	0.554	0	0	
20	0.464	0.536	0	0	
21	0.428	0.572	0	0	
22	0.409	0.591	0	0	
23	0.329	0.671	0	0	
24	0.256	0.744	0	0	
25	0.193	0.807	0	0	


配构件编号：	25
Floor	DS1	DS2	DS3	DS4
1	0.938	0.062	0	0	
2	0.947	0.053	0	0	
3	0.948	0.052	0	0	
4	0.944	0.056	0	0	
5	0.942	0.058	0	0	
6	0.941	0.059	0	0	
7	0.932	0.068	0	0	
8	0.926	0.074	0	0	
9	0.922	0.078	0	0	
10	0.92	0.08	0	0	
11	0.922	0.078	0	0	
12	0.922	0.078	0	0	
13	0.923	0.077	0	0	
14	0.93	0.07	0	0	
15	0.93	0.07	0	0	
16	0.939	0.061	0	0	
17	0.948	0.052	0	0	
18	0.957	0.043	0	0	
19	0.962	0.038	0	0	
20	0.963	0.037	0	0	
21	0.966	0.034	0	0	
22	0.962	0.038	0	0	
23	0.955	0.045	0	0	
