ID	volume	 mp(left)	mp(ÁºÖÐ)	mp(right)	h	EI
318	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
319	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
320	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
321	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
322	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
323	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
324	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
325	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
326	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
327	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
328	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
329	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
330	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
331	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
332	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
333	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
334	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
335	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
336	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
337	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
338	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
339	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
340	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
341	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
342	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
343	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
344	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
345	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
346	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
347	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
348	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
349	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
350	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
351	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
352	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
353	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
